last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,
Giolito, Lucas,608337,2021,3.53,71.7,24.2,28.9,52.5,47.5,77.1,75.5,32.2,50.5,
Irvin, Cole,608344,2021,4.24,71.9,15.4,29.8,29.4,69.3,83.5,84.1,19.2,52,
Marquez, German,608566,2021,4.40,69.2,16.3,25.6,57,40.7,75.3,82.3,27,47.8,
Buehler, Walker,621111,2021,2.47,67.2,17.4,30.2,47,51.3,78.2,82.1,26.3,49.2,
McCullers Jr., Lance,621121,2021,3.16,59.4,16.6,26,57.5,42.2,69,83.3,30.2,41.6,
Berrios, Jose,621244,2021,3.52,63.7,16.5,31,37.6,62,67.9,83.2,23.7,47,
Castillo, Luis,622491,2021,3.98,70.9,21.6,30.5,43,56.2,76.7,77.7,28.7,49.3,
Flexen, Chris,623167,2021,3.61,71.7,13.9,28.6,32,67.5,81.6,85.7,19.2,49.8,
Urias, Julio,628711,2021,2.96,67.3,18.7,32.2,37.7,61.5,74.8,80.1,24.1,51.3,
Manaea, Sean,640455,2021,3.91,71.3,22.3,27.7,41.7,58,81.1,77.5,27.1,51.5,
Mahle, Tyler,641816,2021,3.75,66.3,21.9,25.9,43.5,56.3,78.9,77.7,28.4,45.2,
Alcantara, Sandy,645261,2021,3.19,71.4,19.3,33.8,45.3,53.7,80.5,80.1,27.3,53.3,
Cease, Dylan,656302,2021,3.91,67,26,28.8,52.3,47.7,72.6,73.7,34.6,46.8,
Burnes, Corbin,669203,2021,2.43,64.8,22.1,35.7,59,40,75.1,76.4,36.5,49.2,
Dickey, R.A.,285079,2017,4.26,65.7,18.4,26.7,26.4,72.2,79.8,80.9,20.5,47.4,
Lackey, John,407793,2017,4.59,66.9,16.4,28.8,38.4,60.9,74.2,82.8,23,47.5,
Greinke, Zack,425844,2017,3.20,63.1,18.6,32.4,45.4,53.6,70.6,80.8,28.9,46.2,
Santana, Ervin,429722,2017,3.28,69.3,15.6,30.4,38.4,60.7,75.5,84.2,23.2,48.5,
Verlander, Justin,434378,2017,3.36,68.7,17.2,29.1,39.3,60.1,78.5,82.7,23.6,49.3,
Hammel, Jason,434628,2017,5.29,66.9,13.4,28.8,40.9,59.1,75.7,86.2,21.5,48,
Nolasco, Ricky,445060,2017,4.92,70.2,18.1,26.1,40.8,58.6,79.8,81.5,25.2,45.9,
Kluber, Corey,446372,2017,2.25,64,21.1,33.3,58.9,40.9,70.8,78.8,33.6,49.1,
Vargas, Jason,450306,2017,4.16,60.6,19.2,26,33.5,66,70,80.5,23.5,43.4,
Lester, Jon,452657,2017,4.33,67.2,16.6,28.9,39.9,59.1,81.5,82.4,25,45.4,
Scherzer, Max,453286,2017,2.51,69.3,25.3,32.8,48.4,50.3,75.5,73,32.1,52,
Richard, Clayton,453385,2017,4.79,68.2,13.2,31.5,31.9,64.4,74.2,85.5,19.6,48.5,
Arrieta, Jake,453562,2017,3.53,62.2,15.4,25.5,34.9,64.2,71.2,83.8,21.1,44.1,
Lynn, Lance,458681,2017,3.43,69.6,18.7,24.3,31.3,67.5,80.7,80,22.5,44.9,
Gonzalez, Gio,461829,2017,2.96,64.4,16.8,23.7,34.2,65.6,70.8,81.6,22.1,42.3,
Estrada, Marco,462136,2017,4.98,70.9,22.4,27.2,28.8,70.7,81.2,76.8,24.1,49.3,
Nova, Ivan,467100,2017,4.14,68.5,10.9,31.8,33.9,65.3,76,87.7,17.9,50.5,
Chacin, Jhoulys,468504,2017,3.89,62.2,13.1,23.2,39.2,58.4,74.4,85.5,20.1,42.6,
Carrasco, Carlos,471911,2017,3.29,68.8,18.8,29.5,54.3,45.5,76.3,80.9,29.6,48.9,
Hellickson, Jeremy,476451,2017,5.43,69.9,15.2,28.5,24.9,74.6,79.8,84.6,18.1,48,
Kershaw, Clayton,477132,2017,2.31,69.6,21.1,31.7,50.5,48.9,77.6,78.1,29.8,51.7,
Cashner, Andrew,488768,2017,3.40,66.3,10,23.4,28.4,71.3,76.9,89.7,14.9,44.7,
Quintana, Jose,500779,2017,4.15,63,14.8,25,37.1,62.4,76,84.7,21.3,43.9,
Archer, Chris,502042,2017,4.07,68.9,22.4,27.1,50.7,48.7,79.3,77.2,30.3,47.9,
Cobb, Alex,502171,2017,3.66,61.2,10.9,28.2,29.1,70.5,68.6,88.5,16.9,44.3,
Samardzija, Jeff,502188,2017,4.42,67.1,17.1,30.4,34.2,65.4,77.1,82,22.4,49.1,
Leake, Mike,502190,2017,3.92,68.3,10.7,27.8,36.7,62.8,78.8,88.6,18.4,48.4,
Darvish, Yu,506433,2017,3.86,65.3,20.4,27.4,46.8,52.5,72.5,79.2,27.9,47,
Moore, Matt,519043,2017,5.52,68.2,14.1,25.9,34.6,62.3,74.3,83.4,19.5,48,
Nelson, Jimmy,519076,2017,3.49,65.5,18,30.2,42.3,57.4,72.8,80.8,25.2,48.7,
Pomeranz, Drew,519141,2017,3.32,63.8,16,27.5,40,59.6,66.7,83.3,24,44.6,
Porcello, Rick,519144,2017,4.65,67.7,17.7,29.7,29.7,69.5,73.3,82,21.1,49.6,
Sale, Chris,519242,2017,2.90,65.6,24.9,32.9,47,52.8,73,74.8,31.7,50.1,
Perez, Martin,527048,2017,4.82,64.2,12.4,29.3,27.6,72,73.6,87.4,17.9,44.9,
Teheran, Julio,527054,2017,4.49,68.5,16.5,26.6,33.7,66.3,79,82.5,21.5,47,
Cole, Gerrit,543037,2017,4.26,66.5,16.7,25.5,34.8,64.7,79.3,82.6,21.7,46.5,
Gray, Sonny,543243,2017,3.55,67.8,16.5,27.9,50,48.7,75.1,82.9,27.2,46.6,
Roark, Tanner,543699,2017,4.67,66.8,17.5,27.7,35.7,63.2,71.4,81.6,23.3,46.1,
Strasburg, Stephen,544931,2017,2.52,65.7,19.7,30.8,47.3,52.2,71.5,79.5,27.7,49.7,
Bauer, Trevor,545333,2017,4.19,63,14.9,21.9,48.6,50.9,70.1,84.7,23.7,42.2,
Tanaka, Masahiro,547888,2017,4.74,71.2,19.7,33.5,52.1,47.7,73.8,79.6,31.1,51.2,
Urena, Jose,570632,2017,3.82,69.4,13.8,26.9,32,67.5,79.8,85.6,19.8,45.5,
Corbin, Patrick,571578,2017,4.03,67.5,14.9,29.1,46.5,52.4,82,84.1,25.3,47,
